亳,左点
亳,横钩
亳,平撇
亳,横
亳,竖弯钩
亵,点
亵,横
亵,横
亵,竖钩
亵,提
亵,撇
亵,横折斜钩
亵,点
亵,撇
亵,竖提
亵,撇
亵,捺
亶,点
亶,横
亶,竖
亶,横折
亶,竖
亶,横折
亶,横
亶,横
亶,竖
亶,横折钩
亶,横
亶,横
亶,横
亹,点
亹,横
亹,撇
亹,竖
亹,横
亹,横
亹,竖
亹,横折
亹,横
亹,横
亹,竖
亹,横折
亹,横
亹,横
亹,左点
亹,横钩
亹,竖
亹,横折
亹,横
亹,横
亹,横
人,撇
人,捺
亻,撇
亻,竖
亼,撇
亼,捺
亼,横
亾,竖撇
亾,捺
亾,竖折
亿,撇
亿,竖
亿,横折弯钩
什,撇
什,竖
什,横
什,竖
仁,撇
仁,竖
仁,横
仁,横
仂,撇
仂,竖
仂,横折钩
仂,竖撇
仃,撇
仃,竖
仃,横
仃,竖钩
仄,横
仄,竖撇
仄,竖撇
仄,捺
仅,撇
仅,竖
仅,横撇
仅,捺
仆,撇
仆,竖
仆,竖
仆,点
仇,撇
仇,竖
仇,竖撇
仇,横折弯钩
仉,撇
仉,竖
仉,竖撇
仉,横折弯钩
今,撇
今,捺
今,点
今,横撇
介,撇
介,捺
介,撇
介,竖
仌,撇
仌,点
仌,撇
仌,捺
仍,撇
仍,竖
仍,横折钩
仍,竖撇
从,竖撇
从,点
从,竖撇
从,捺
仑,撇
仑,捺
仑,平撇
仑,竖弯钩
仓,撇
仓,捺
仓,横折钩
仓,竖弯钩
仔,撇
仔,竖
仔,横撇
仔,竖钩
仔,横
仕,撇
仕,竖
仕,横
仕,竖
仕,横
他,撇
他,竖
他,横折钩
他,竖
他,竖弯钩
仗,撇
仗,竖
仗,横
仗,竖撇
仗,捺
付,撇
付,竖
付,横
付,竖钩
付,点
仙,撇
仙,竖
仙,竖
仙,竖折
仙,竖
仝,撇
仝,捺
仝,横
仝,竖
仝,横
仞,撇
仞,竖
仞,横折钩
仞,撇
仞,左点
仟,撇
仟,竖
仟,平撇
仟,横
仟,竖
仡,撇
仡,竖
仡,撇
仡,横
仡,横折弯钩
代,撇
代,竖
代,横
代,斜钩
代,点
令,撇
令,捺
令,点
令,横撇
令,点
以,竖提
以,点
以,撇
以,点
仨,撇
仨,竖
仨,横
仨,横
仨,横
仪,撇
仪,竖
仪,点
仪,撇
仪,捺
仫,撇
仫,竖
仫,撇
仫,撇折
仫,点
们,撇
们,竖
们,点
们,竖
们,横折钩
仰,撇
仰,竖
仰,撇
仰,竖提
仰,横折钩
仰,竖
仲,撇
仲,竖
仲,竖
仲,横折
仲,横
仲,竖
仳,撇
仳,竖
仳,横
仳,竖提
仳,撇
仳,竖弯钩
仵,撇
仵,竖
仵,撇
仵,横
仵,横
仵,竖
件,撇
件,竖
件,撇
件,横
件,横
件,竖
价,撇
价,竖
价,撇
价,捺
价,竖撇
价,竖
任,撇
任,竖
任,平撇
任,横
任,竖
任,横
份,撇
份,竖
份,撇
份,捺
份,横折钩
份,撇
仿,撇
仿,竖
仿,点
仿,横
仿,横折钩
仿,撇
企,撇
企,捺
企,竖
企,横
企,竖
企,横
伄,撇
伄,竖
伄,横折
伄,横
伄,竖折折钩
伄,竖
伉,撇
伉,竖
伉,点
伉,横
伉,撇
伉,横折弯钩
伊,撇
伊,竖
